Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",ENERGY STAR Score,Onsite Renewable (kWh)
Hyatt Regency Boston,304500100,Hotel,One Avenue deLafayette,450000,"Hotel, Other - Restaurant/Bar, Swimming Pool",37898684.8,0.636865607,0.363134393,,,,,,55,
Hyde Park,,Other,1253-1263 Hyde Park Avenue,13758,Other,4787,1,,,,,,,,
Hyde Park Branch,1808971000,Library,35 Harvard Ave,30000,Library,944460.4,1,,,,,,,,
Hyde Park Community Center,1809062000,Other - Recreation,1175 River St,40000,Other - Recreation,1159440.3,1,,,,,,,,
HYDE PARK HS,1807529000,K-12 School,655 Metropolitan Ave.,186589,K-12 School,13542575.4,0.253573017,0.746426983,,,,,,49,
"IM000104 - 120 Hampden St, Roxbury, MA",800823000,Non-Refrigerated Warehouse,120 Hampden St,70752,Non-Refrigerated Warehouse,2163065.3,0.107582143,0.892417857,,,,,,80,
"IM000106 - 32 George St, Boston, MA",800789000,Non-Refrigerated Warehouse,32 George St,242500,Non-Refrigerated Warehouse,2196263.9,0.386768503,0.613231497,,,,,,96,
Independence Wharf,302956000,Office,470 Atlantic Avenue,336362,"Financial Office, Office, Parking",17348893.9,0.714373197,0.007214984,0.278411824,,,,,84,
Ink Block South End,306625000,Multifamily Housing,300 Harrison Ave,393839,"Bank Branch, Food Sales, Multifamily Housing, Parking, Retail Store",29930446.1,0.723171109,0.276828891,,,,,,11,
Institute of Contemporary Art Boston,602671041,Museum,25 Harbor Shore Dr.,65000,Museum,11568718.3,0.427572223,0.572427777,,,,,,,
Interdisciplinary Science & Engineering Comples (ISEC),901340000,College/University,805 Columbus Avenue,238608,College/University,30442475.4,0.514582802,0.485417201,,,,,,,
International Village,"902704040, 902704050",College/University,1155-1175 Tremont Street,495301,College/University,30470125.3,0.593047289,0.406952711,,,,,,,
IRVING,1904029000,K-12 School,105 Cummins HWY,110370,K-12 School,6808398.7,0.136618527,0.863381473,,,,,,76,
Isabella Stewart Gardner Museum,401837000,Museum,280 the Fenway,63000,Museum,6392020.6,0.212846733,0.787153267,,,,,,,
Isabella Stewart Gardner Museum,"401836000, 401838000, 401839000, 401840000",Museum,25 Evans Way,70000,Museum,10774261.8,0.780228934,0.219771057,,,,,,,
JACKSON MANN,2101095000,K-12 School,40 Armington St.,207798,K-12 School,22084339.1,0.112183443,0.887816557,,,,,,29,
Jamaica Plain - 48-56 School,"1101481000, 1102327000, 1102328000, 1102329000, 1102330000, 1102331000, 1102332000, 1102342000, 1401095000, 1401097000, 1404298000, 1404299000, 1904778000",Multifamily Housing,48-56 School Street,15120,"Multifamily Housing, Parking",1176705.1,0.058523669,0.941476331,,,,,,,
Jamaica Plain Branch,1901289000,Library,12 Sedgewick St,9252,Library,705814.8,1,,,,,,,,
Jamaica Pond Boat House (NA - does not report EUI),1902186000,Other - Recreation,507 Jamaicaway,100,Other - Recreation,312989.4,0.720693416,0.279306584,,,,,,,
Jamaicaway Place Condo,1001609000,Multifamily Housing,40-50-60 Jamaicaway,25400,Multifamily Housing,2749372.6,0.131656328,0.868343672,,,,,,37,
Jamaicaway Tower and Townhouses,1002149000,Multifamily Housing,111 Perkins Street,398510,Multifamily Housing,157404813.7,0.044931782,0.039071674,,0.915996544,,,,1,
James and Harrison Court Apartments,801401300,Multifamily Housing,761 Harrison Ave,160836,"Multifamily Housing, Parking",9221759.4,0.431421503,0.568578497,,,,,,84,
Jamestown - 1 Design Center Boston,"602674012, 602674018",Other,1 Design Center Place,556340,"Office, Other, Restaurant",38937056.1,0.503194937,0.49680506,,,,,,,
Jamestown - 21-25 Drydock Ave Boston,602674013,Office,21-25 Drydock Ave,804862,"Laboratory, Manufacturing/Industrial Plant, Office",65816772.2,0.5873777,0.378861179,,,,,,66,651245
Jean Yawkey Center/Marian Hall,401847000,College/University,400R The Fenway,87877,"College/University, Parking",16671895.8,0.307837876,0.692162124,,,,,,,
Jordan Hall,402246001,College/University,290 Huntington Ave,143000,College/University,13100503.4,0.31073809,0.68926191,,,,,,,
Jordan Lofts,306444000,Multifamily Housing,477 Harrison Avenue,34825,Multifamily Housing,358991.5,0.655423596,0.344576404,,,,,,100,
Judge Baker Children's Center,1001439001,Other - Education,53 Parker Hill Ave,72000,Other - Education,6837416.4,0.387658473,0.612341527,,,,,,,
Julia Martin House: Julia Martin House,1002334010,Multifamily Housing,90 Bickford St,44892,Multifamily Housing,2455511.1,0.37733175,0.62266825,,,,,,71,
Kasanof Homes,1200921000,Multifamily Housing,233 Blue Hill Ave,72608,"Multifamily Housing, Parking",3920029.1,0.426421095,0.573578905,,,,,,62,
Kelton Place Conodminium,2101821000,Other - Lodging/Residential,147 Kelton Street ,72941,Other - Lodging/Residential,542259.4,0.48972761,0.51027239,,,,,,,
Kenmore Abbey,503924000,Multifamily Housing,488 Commonwealth Avenue,199419,"Multifamily Housing, Retail Store",11349119.7,0.30455148,0.69544852,,,,,,,
Kennedy Hall,401725000,College/University,115 Hemenway Street,46926,College/University,2344543.1,0.171608276,0.828391681,,,,,,,
KENNEDY JF,1002705000,K-12 School,7 Bolster St.,49194,K-12 School,2942448.5,0.137375862,0.862624138,,,,,,78,
KENNEDY PJ,106987000,K-12 School,343 Saratoga St.,36190,K-12 School,1588673.1,0.250551923,0.749448077,,,,,,88,
KENNEY,1603485000,K-12 School,19 Oakton Ave.,37578,K-12 School,1768915.5,0.205324958,0.794674986,,,,,,87,
Kensington Newbury 361 Newbury,503014000,Retail Store,100 Massachusetts Ave.,88385,"Office, Retail Store",8282019.5,0.628400199,0.371599813,,,,,,24,
KENT,202920000,K-12 School,50 Bunker Hill St.,93350,K-12 School,8266530.2,0.147600404,0.852399584,,,,,,42,
Keystone: 151 Hallet Street,1604327000,Multifamily Housing,151 Hallet St,229500,Multifamily Housing,3708342.4,1,,,,,,,100,
KIC Dorcester LLC 815 Morton,1404048000,Multifamily Housing,819-815 Morton Street,18560,"Multifamily Housing, Parking",976145.4,0.538624266,0.461375734,,,,,,69,
KIC Dorchester 14 Argyle,1601550000,Multifamily Housing,14 Argyle Terrace,32000,"Multifamily Housing, Parking",483682.5,0.651717811,0.348282396,,,,,,100,
KIC Dorchester 15 Argyle,1601549000,Multifamily Housing,15 Argyle Terrace,32000,"Multifamily Housing, Parking",1022367,0.715331676,0.284668324,,,,,,93,
KIC Roxbury LLC,1101776000,Other - Specialty Hospital,45-59 Townsend Street,150000,Other - Specialty Hospital,792805.8,0.962928753,0.037071247,,,,,,,
KILMER,2009606000,K-12 School,35 Baker St.,25068,K-12 School,1588109.6,0.200964404,0.799035533,,,,,,68,
Kilsyth Terrace,2102128000,Multifamily Housing,"4,8,12 Kilsyth Terrace",60000,Multifamily Housing,2579102.9,,1,,,,,,100,
KING,1400313000,K-12 School,77 Lawrence Ave.,113462,K-12 School,5677034.3,0.165813372,0.83418661,,,,,,86,
King Terminal,603405060,Office,60 K Street,222018,Office,14973438.8,0.321369624,0.678630376,,,,,,,
Klarman Hall,2200490000,College/University,113 Western Avenue,81000,College/University,5987643.4,0.49977183,,0.453757717,,,,,,81550
Laconia Condominium Association,306395010,Multifamily Housing,1200 Washington Street,96000,Multifamily Housing,6283814.6,0.527483943,0.472516073,,,,,,42,
Ladies Garment Workers Center,304959000,Other,33 Harrison Ave,60600,Other,436324.1,1,,,,,,,,
Lafayette City Center,"304500100, 304500200",Office,2 Avenue de Lafayette,621792,Office,536604.8,,1,,,,,,100,
Landfall West Apartments 401 BORDER ST: 26291321003,103613000,Multifamily Housing,401 Border St.,51488,Multifamily Housing,807067.3,1,,,,,,,100,
Landmark Center,2100077000,Office,401 Park Drive,1003987,"Data Center, Non-Refrigerated Warehouse, Office, Other - Mall, Retail Store",80873801.1,0.642643967,0.357356033,,,,,,74,
Landmark Square,504311000,Multifamily Housing,75 Peterborough Street,172995,"Multifamily Housing, Parking",12083864.5,0.372291819,0.627708181,,,,,,61,
Langham Court,900660000,Multifamily Housing,26 Worcester St,107340,"Multifamily Housing, Parking",7001841.5,0.307168821,0.692831179,,,,,,44,
Lantera at Boston Landing- Greystar,2201904004,Multifamily Housing,125 Guest St,233783,"Multifamily Housing, Parking, Swimming Pool",14095443.8,0.645197422,0.354802578,,,,,,61,
LATIN,401846000,K-12 School,78 Louis Pasteur Ave.,336545,K-12 School,19122828.4,0.291547609,0.708452386,,,,,,68,
LATIN ACADEMY,1201973000,K-12 School,205 Townsend St.,332366,K-12 School,13272866.6,0.302648977,0.697351023,,,,,,89,
Latin Academy I / New Girls Latin Academy,"1704781102, 1704781100",Multifamily Housing,380 Talbot Avenue,89235,Multifamily Housing,8896440.2,0.293374523,0.706625477,,,,,,16,
Laurel Ridge,,Residential Care Facility,174 Forest Hills Street,10000,Residential Care Facility,409439.9,1,,,,,,,,
Lavietes Pavilion,2200533000,Indoor Arena,45 North Harvard Street,31140,Indoor Arena,3933263.3,0.562734104,,0.437265896,,,,,,
LBB Apt - 102-112 Talbot,"1402195000, 1402196000, 1402197000, 1402198000, 1402199000, 1402531000, 1402803000, 1402804000, 1800902000, 1800904000, 1800908000",Multifamily Housing,102-112 Talbot Avenue,24662,Multifamily Housing,1957518.8,0.300078804,0.699921247,,,,,,,
LEE,1402864000,K-12 School,155 Talbot Ave.,153460,"K-12 School, Swimming Pool",11129777.1,0.252920869,0.747079131,,,,,,57,
Lefavour Hall,401842000,College/University,2 Avenue Louis Pasteur,122900,College/University,Not Available,,,,,,,,,
Leon Victor J TS,1201139000,Enclosed Mall,330 Martin Luther King Blvd,900000,"Enclosed Mall, Parking",8664358.4,0.957654106,0.042345894,,,,,,,
Leventhal/Weinberg: Leventhal House,2102565010,Multifamily Housing,40 Wallingford Road,158387,Multifamily Housing,15036165.1,0.274551388,0.725448612,,,,,,28,
Lewenberg,1405014000,K-12 School,20 Outlook Rd.,120944,K-12 School,6704649.2,0.216565022,0.783434978,,,,,,76,
LEWIS,1201737000,K-12 School,131 Walnut Ave.,76220,K-12 School,3532393,0.146037035,0.853962937,,,,,,91,
Lewis Warf,303029200,Other,28-32 Atlantic Ave,150000,Other,7033871.8,0.09594184,0.90405816,,,,,,,
LHRRB,401882000,College/University,45 Shattuck St,66053,College/University,19281691.6,0.414590829,,0.201569462,,,0.383839709,,,
Liberty Mutual Tower,"501148000, 501149000, 501150000",Office,157 Berkeley Street,757241,"Office, Parking, Restaurant",46786132.3,0.605098174,0.394901826,,,,,,84,
Liberty Wharf-Boston Reporting,602673121,Restaurant,250 Northern Ave,75661,"Office, Parking, Restaurant",33640567.5,0.45480354,0.54519646,,,,,,,
LILLA FREDRICK,1400359000,K-12 School,264 Columbia Rd.,144008,K-12 School,9289751.1,0.454146258,0.545853742,,,,,,39,
Lincoln Halls at Park Drive Condominium,504213000,Multifamily Housing,11-15 Park Drive,52865,Multifamily Housing,4022559.1,0.156979372,0.843020603,,,,,,86,
Lincoln Plaza,304304400,Office,89 South Street,107432,Office,5391789.5,0.729589592,0.270410408,,,,,,91,
Lincoln Plaza: 66 Lincoln Street,304304100,Multifamily Housing,66 Lincoln Street,121500,Multifamily Housing,9128087.6,0.753446045,0.246553955,,,,,,7,
Lindsay Place Condo Trust,300028000,Multifamily Housing,11 Bowdoin St,51000,Multifamily Housing,3696696.4,0.22338759,0.77661241,,,,,,46,
Lionhead Apartments (Dudley),"1301236000, 1301235000",Multifamily Housing,3 Monadnock St,87944,Multifamily Housing,5757240.5,0.213899819,0.786100181,,,,,,84,
LMI Realty Corp,2100792000,Multifamily Housing,56 Brighton Ave.,21235,Multifamily Housing,392853.8,0.774725356,0.225274644,,,,,,,
Loeb House - Boston,2200530000,Office,10 Harvard Way,6067,Office,252099.2,0.298913682,,0.701086318,,,,,89,
Loews Boston Hotel,401117000,Hotel,350 Stuart Street,172000,Hotel,18460331,0.482554527,0.517445473,,,,,,47,
Loftman Hall,,College/University,"163, 157, 153 Hemenway Street",53219,College/University,3812227.2,0.164897543,0.835102457,,,,,,,
Long Island Campus,107066000,Residence Hall/Dormitory,1 Long Island Rd,300000,Residence Hall/Dormitory,3028968.9,1,,,,,,,100,
Long Island Firing Range,107066000,Police Station,Long Island Road,1000,Police Station,17773.1,1,,,,,,,,
Longfellow House: 885 South St,2004863000,Multifamily Housing,885 South St,44990,Multifamily Housing,3241533.7,0.274917672,0.725082328,,,,,,31,
Longwood Galleria,401914000,Mixed Use Property,400 Brookline Avenue,292745,"Hotel, Multifamily Housing, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",43373649.6,0.715004575,0.095769234,0.189226189,,,,,,
Loretto Hall,401847000,Residence Hall/Dormitory,420 The Fenway,57190,Residence Hall/Dormitory,3670860.4,0.281043076,0.718956896,,,,,,80,
Lovejoy Wharf,303060001,Office,160 N. Washington St. ,236688,"Office, Retail Store",14961745.6,0.821118767,0.17888124,,,,,,69,
Lovejoy Wharf,303063000,Multifamily Housing,100 Lovejoy Place,253788,"Fitness Center/Health Club/Gym, Multifamily Housing, Restaurant",15147981.5,0.474823217,0.525176783,,,,,,50,
Lower Mills Branch,1704075000,Library,23 Richmond St,9940,Library,1073927.4,0.301008616,0.698991384,,,,,,,
Ludcke House,2200530000,Office,690 Soldiers Field Road,9611,Office,270934.8,0.354759152,,0.645240848,,,,,94,
LYNDON,2006132000,K-12 School,170 Russett Rd.,24708,K-12 School,1533813,0.181325885,0.818674115,,,,,,71,
LYON,2204028000,K-12 School,50 Beechcroft St.,13336,K-12 School,1266281.2,0.298901302,0.701098619,,,,,,19,
MA0011ZZ - CPT JF WILLIAMS CG B,302959000,Office,408 ATLANTIC AV,176013,Office,Not Available,,,,,,,,,
MA0013ZZ - J W MCCORMACK BLDG,303881000,Office,5 POST OFFICE SQ,776861,"Courthouse, Office, Parking",30994565,0.543866894,0.00088781,0.455245295,,,,,88,
MA0050ZZ - MOAKLEY COURTHOUSE,602671010,Courthouse,1 COURTHOUSE WAY,945424,"Courthouse, Parking, Residence Hall/Dormitory, Restaurant, Social/Meeting Hall",Not Available,,,,,,,,,
MA0131ZZ - JFK FEDERAL BUILDING,302605000,Office,15 NEW SUDBURY STREET,971779,"Office, Parking",62275804.2,0.553833192,,0.44616681,,,,,73,
MA0153ZZ - TP O'NEILL FED BLDG,301920000,Office,10 CAUSEWAY STREET,773445,"Office, Parking",Not Available,,,,,,,,,
MA036_Avalon Exeter,401037085,Multifamily Housing,77 Exeter Street,268850,Multifamily Housing,11233684.7,0.798619343,0.201380657,,,,,,61,
MA040_AVA Back Bay,401037010,Multifamily Housing,790 Boylston Street,291222,Multifamily Housing,22608610.4,0.121678553,0.028748472,0.84957298,,,,,52,
MA041_Avalon Prudential Center 2,401037050,Multifamily Housing,780 Boylston Street,287111,Multifamily Housing,24642984.4,0.222415382,,0.777584618,,,,,22,
MA042_Avalon Prudential Center 1,401037075,Multifamily Housing,770 Boylston Street,286043,Multifamily Housing,25935561.7,0.247776072,,0.752223928,,,,,13,
MA044_AVA Theater District,304910020,Multifamily Housing,45 Stuart St,498885,"Multifamily Housing, Parking",23246611.3,0.553849795,0.446150205,,,,,,78,
MA048_Avalon North Station,301922050,Multifamily Housing,1 Nashua Street,536912,Multifamily Housing,28261827,0.557070528,0.442929468,,,,,,69,
Main Campus,"401842000, 401842000",College/University,300 The Fenway,550200,"College/University, Parking",87142699.3,0.505652588,0.494347412,,,,,,,
Main College Building,401842000,College/University,300 The Fenway,197600,College/University,1130364.5,,1,,,,,,,
Malvern Place Apartments,2100555000,Multifamily Housing,"40 Malvern St. Allston, Ma. 02134",39180,"Multifamily Housing, Parking",2918642.4,0.289366967,0.710633033,,,,,,75,
"Mandarin Oriental, Boston","401037810, 401037920, 401037800",Multifamily Housing,772-776 Boylston Street,452336,"Bar/Nightclub, Hotel, Multifamily Housing, Other - Mall, Restaurant, Social/Meeting Hall",60515945.6,0.522163656,0.070023237,0.407357029,0.000456078,,,,1,
Mandela Homes (Building 03),901150000,Multifamily Housing,9 Greenwicj St,6823,Multifamily Housing,184428.5,1,,,,,,,,
Mandela Homes (Building 04),901855000,Multifamily Housing,10 Hammond Street,61440,Multifamily Housing,699697.8,1,,,,,,,100,
Mandela Homes (Building 14),901150000,Multifamily Housing,560 Shawmut St,6823,Multifamily Housing,183341.1,1,,,,,,,,
Mandela Homes (Building 22),901150000,Multifamily Housing,1855 Washington Street,89088,Multifamily Housing,1260319.8,1,,,,,,,100,
"Mandela Homes (Buildings 01,02)",901855000,Multifamily Housing,1-5 Greenwich St,12156,Multifamily Housing,345655.4,1,,,,,,,,
"Mandela Homes (Buildings 05,06,07,08)",901855000,Multifamily Housing,22-34 Hammond St,26172,Multifamily Housing,574897.8,1,,,,,,,,
"Mandela Homes (Buildings 09,10,11)",901855000,Multifamily Housing,53-57 Windsor Street,9579,Multifamily Housing,314899,1,,,,,,,,
"Mandela Homes (Buildings 12, 13)",901150000,Multifamily Housing,150-160 North Hampton St,12217,Multifamily Housing,303346.6,1,,,,,,,,
"Mandela Homes (Buildings 15,16)",901150000,Multifamily Housing,579-580 Shawmut St,12844,Multifamily Housing,336489.2,1,,,,,,,,
"Mandela Homes (Buildings 17,18,19,20,21)",901150000,Multifamily Housing,1835-1841 Washingtom St,32480,Multifamily Housing,656600.9,1,,,,,,,100,
Mandela Homes (Parent Property),"901855000, 901850000",Multifamily Housing,1855 Washington Street,269622,Multifamily Housing,23623077,0.20571732,0.79428268,,,,,,37,
Mandela Homes (Shawmut Ave),901150000,Multifamily Housing,586 572 SHAWMUT AV,154058,Multifamily Housing,15119573.4,0.181228499,0.818771501,,,,,,60,
MANNING,1902518000,K-12 School,130 Louders Ln.,22336,K-12 School,1663202.4,0.18096198,0.81903802,,,,,,55,
Maple Commons: Maple Commons,1202491000,Multifamily Housing,15 Maple Street,27344,Multifamily Housing,4022376.1,0.083889868,0.916110132,,,,,,19,
Marcus Garvey,903557000,Multifamily Housing,42 John Eliot Square,144181,Multifamily Housing,10103971.7,0.30020956,0.69979044,,,,,,66,
Marine Unit,303040000,Fire Station,50 Battery St,5000,Fire Station,520312.9,1,,,,,,,,
Mariner Condo Associates,303543000,Multifamily Housing,300 Commercial St,186285,Multifamily Housing,8521738.7,0.626051911,0.373948089,,,,,,44,
Marketplace Lofts Limited Partnership,301309000,Multifamily Housing,10 Thacher Street,72600,Multifamily Housing,2731393,0.635753625,0.364246375,,,,,,83,
MARSHALL,1500740000,K-12 School,35 Westville St.,141091,"K-12 School, Swimming Pool",10733524.1,0.196123107,0.803876893,,,,,,65,
MASON,800504000,K-12 School,150 Norfolk Ave.,27642,K-12 School,2318025.9,0.111595302,0.888404698,,,,,,52,
Mason Place: 80 Mason St,304838000,Multifamily Housing,80 Mason St,134915,Multifamily Housing,8743211,0.25356444,0.74643556,,,,,,73,
Mason Pool,800504000,Other - Recreation,159 Norfolk Ave,13300,Other - Recreation,4332173.2,0.233090865,0.766909135,,,,,,,
Mass. Wholesale Food Terminal,801021070,Manufacturing/Industrial Plant,130 Newmarket Square,160000,"Manufacturing/Industrial Plant, Parking",23107396.3,0.566335165,0.433664835,,,,,,,
Massachusetts Historical Society,401754000,Museum,1154 Boylston St.,48000,Museum,4412737.2,0.397810275,,0.602189725,,,,,,
Match Community Day,1801498010,K-12 School,"50,100,110 Poydras Street",72200,"K-12 School, Parking",2528996,1,,,,,,,91,
MATHER,1500364000,K-12 School,24 Parish St.,76974,K-12 School,3910415.1,0.158957779,0.841042246,,,,,,86,
MATTAHUNT,1802340000,K-12 School,100 Hebron St.,171035,"Heated Swimming Pool, K-12 School",19607329,0.085070965,0.914929035,,,,,,34,
Mattapan Apartments E,"1811577000, 1811578000",Multifamily Housing,1332-1342 River Street,66308,Multifamily Housing,2883290.5,0.254851185,0.74514885,,,,,,57,
Mattapan B,"1301796000, 1301797000",Multifamily Housing,"3, 7 Bakersfield Street, 40, 48 Sumner Street, 40, 50 Willis Street",40000,Multifamily Housing,4219561.1,0.145174009,0.854825968,,,,,,28,
Mattapan Branch,1800918010,Library,1350 Blue Hill Ave,21000,Library,3111001.1,0.364540244,0.635459756,,,,,,,
Mattapan Campus,1800113100,Urgent Care/Clinic/Other Outpatient,249 River Street,107359,Urgent Care/Clinic/Other Outpatient,9598059.5,0.313882134,0.686117876,,,,,,,
Mattapan Center for Life: 555 River Street,1801691020,Multifamily Housing,555 River Street,52970,Multifamily Housing,2852385,0.251496975,0.748503025,,,,,,66,
Maverick Landing I,105609010,Multifamily Housing,3 - 17 New Street,144009,Multifamily Housing,13584029.8,0.137679571,0.862320429,,,,,,76,
Maverick Landing II,105402010,Multifamily Housing,115 Sumner Street,98784,Multifamily Housing,6242155.3,0.230536574,0.769463442,,,,,,81,
McArdle Bridge Tender House,105935000,Other - Public Services,500 Meridian St,1300,Other - Public Services,805537.4,0.468360501,,,0.531639375,,,,,
McArthur Hall,2200530000,Residence Hall/Dormitory,47A Harvard Way,107673,Residence Hall/Dormitory,7198683.4,0.278569606,,0.721430394,,,,,80,
McBride House/St Cecilia's: StC-108 Kilmarnock st,504281010,Multifamily Housing,StC-108 Kilmarnock st,80731,Multifamily Housing,4995552.4,0.365737291,0.634262709,,,,,,86,
McCollum Center,2200530000,Social/Meeting Hall,47 Harvard Way,18925,Social/Meeting Hall,1437220.3,0.378956866,,0.621043065,,,,,,
McCulloch Hall,2200530000,Residence Hall/Dormitory,44 Harvard Way,51821,Residence Hall/Dormitory,3504595.4,0.432304996,,0.567695004,,,,,72,
MCKAY,103989000,K-12 School,122 Cottage St.,79082,K-12 School,3278693.1,0.324847483,0.675152517,,,,,,86,
MCKINLEY MACKEY,400212000,K-12 School,90 Warren Ave.,78258,K-12 School,5214845.1,0.125173095,0.874826905,,,,,,72,
MCKINLEY MILMORE,504312000,K-12 School,97 Peterborough St.,19819,K-12 School,1475614.1,0.147429535,0.852570465,,,,,,59,
MCKINLEY ST MARYS,2100255000,K-12 School,50 St. Marys St.,17299,K-12 School,992406.6,0.131258297,0.868741703,,,,,,81,
McNamara House (Whole Building Tracking): McNamara House (Whole Building Trac...,2200864000,Multifamily Housing,210 Everett Street,63538,Multifamily Housing,3924852.3,0.141687217,0.858312783,,,,,,96,
Medical Area Total Energy Plant,401930000,Energy/Power Station,474 Brookline Avenue,259500,Energy/Power Station,26333999.1,0.218956482,,0.698830422,,,0.082213096,,,
Mellon Hall,2200530000,Residence Hall/Dormitory,670 Soldiers Field Road,47698,Residence Hall/Dormitory,3192314.7,0.267239223,,0.732760777,,,,,81,
Melvin Hill Condominium Trust,2101749000,Multifamily Housing,301 Allston Street,41326,Multifamily Housing,4553665.6,0.017568528,0.982431472,,,,,,65,
MENDELL,1101416000,K-12 School,164 School St.,31892,K-12 School,2244728.3,0.193362154,0.80663789,,,,,,59,
Menino Community Center,1903432000,Other - Recreation,125 Brookway Rd,12000,Other - Recreation,941349.3,0.2224543,0.777545593,,,,,,,
Mercantile Wharf: Mercantile Wharf,303636000,Multifamily Housing,111 Atlantic Avenue,230000,Multifamily Housing,12704998.2,0.26262014,0.73737986,,,,,,66,
Merck MRL Boston,401847020,Laboratory,33 Avenue Louis PAsteur,405163,"Laboratory, Parking",168973442.9,0.389698708,0.001663042,0.60863825,,,,,,
Mesick Hall,402020000,College/University,291 Brookline Avenue,25900,College/University,427798.8,1,,,,,,,,
Methunion,400790000,Multifamily Housing,465 Columbus Avenue,42998,"Multifamily Housing, Retail Store",4654846.6,0.15930424,0.840695781,,,,,,56,
Metro Mark (Whole Building Tracking): Building A 3615 (Whole Building Tracking),1102617010,Multifamily Housing,3615 Washington Street,109288,Multifamily Housing,6898231.5,0.744214485,0.255785515,,,,,,65,
Metro Mark (Whole Building Tracking): Building B 3611 (Whole Building Tracking),1102617010,Multifamily Housing,3611 Washington Street,229047,Multifamily Housing,6969117.9,0.499332247,0.500667767,,,,,,100,
Mezzo Design Lofts,201912010,Multifamily Housing,30 Caldwell st,123956,Multifamily Housing,5549097.5,0.263129869,0.736870149,,,,,,97,
Midway Studios: 15 Channel Center Street,602750050,Multifamily Housing,15 Channel Center St,203500,Multifamily Housing,7659069.5,0.638517525,0.361482475,,,,,,63,
MILDRED,1800822000,K-12 School,Mildred Ave.,214093,"K-12 School, Swimming Pool",13917748.9,0.485733867,0.51426614,,,,,,44,
Millennium Avery Condo Tr,"304488000, 304832400",Multifamily Housing,580 Washington Street,280000,Multifamily Housing,24889276.1,0.572188622,0.427811378,,,,,,3,
Millennium Place Primary- North Tower,"304832020, 304832420",Multifamily Housing,1-3 Avery Street,362409,"Multifamily Housing, Restaurant",27029770.2,0.533423769,0.466576231,,,,,,15,
Millennium Place Primary-South Tower,"304870020, 304870400",Mixed Use Property,2 Avery Street,895973,"Fitness Center/Health Club/Gym, Hotel, Movie Theater, Multifamily Housing, Office, Parking, Retail Store",151262284.4,0.476037492,0.523962508,,,,,,,
Millennium Towers,304590010,Multifamily Housing,1 Franklin St,758542,"Multifamily Housing, Retail Store",51037007.8,0.665316933,0.334683067,,,,,,12,
Miller Hall,302803000,Residence Hall/Dormitory,10 Somerset Street,131253,Residence Hall/Dormitory,13484687.4,0.402191459,0.032313838,0.565494711,,,,,38,
Mirabella Pool,303055000,Other - Recreation,475 Commercial St,3220,"Heated Swimming Pool, Other - Recreation",229439.9,1,0,,,,,,,
"Mishawum Park: Bldgs 17, 18, and 20",202315000,Multifamily Housing,216 Main Street,30425,Multifamily Housing,1479660.4,0.220328529,0.779671471,,,,,,98,
"Mishawum Park: Bldgs 9,10,11, and 12",202390000,Multifamily Housing,290 Main Street,98577,Multifamily Housing,5343345.2,0.300470593,0.699529407,,,,,,92,
MISSION,1000598010,K-12 School,67 Alleghany St.,64400,K-12 School,4971649.4,0.203485467,0.796514533,,,,,,49,
Mission Main I,"1000001005, 1000001050",Multifamily Housing,43 Smith Street,457563,"Multifamily Housing, Office, Parking",22915229.3,0.313166951,0.686833049,,,,,,87,
Mission Main I - 39 Smith St,1000001005,Multifamily Housing,39 Smith St,97272,"Multifamily Housing, Office, Parking",3456084.5,0.366626047,0.633373953,,,,,,94,
Mission Main I - 55 Smith St,1000001015,Multifamily Housing,55 Smith St,88509,"Multifamily Housing, Parking",4731675.4,0.313684705,0.686315295,,,,,,80,
Mission Main I - 661 Parker St,1000001050,Multifamily Housing,661 Parker St,102513,"Multifamily Housing, Parking",4676273.4,0.21220947,0.78779053,,,,,,98,
Mission Main I - 675 Parker St,1000001055,Multifamily Housing,675 Parker St,80222,"Multifamily Housing, Parking",3948469.6,0.298918042,0.701081958,,,,,,92,
Mission Main I - 69 McGreevey Way,1000001025,Multifamily Housing,69 McGreevey Way,89047,"Multifamily Housing, Parking",6102726.4,0.369069372,0.630930628,,,,,,67,
Mission Main II,"1000001020, 1000001021, 1000001030, 1000001031, 1000001040, 1000001041, 1000001045",Multifamily Housing,21 Cornelia Street,255574,"Multifamily Housing, Parking",12063322.7,0.29619119,0.70380881,,,,,,95,
Mission Main II - 21 Cornelia St,1000001020,Multifamily Housing,21 Cornelia St,102879,"Multifamily Housing, Parking",4501681.7,0.271419456,0.728580544,,,,,,96,
Mission Main II - 23 Turquoise Way,1000001040,Multifamily Housing,23 Turquoise Way,54950,"Multifamily Housing, Parking",2032141.8,0.311758166,0.688241834,,,,,,99,
Mission Main II - 41 McGreevey Way,1000001030,Multifamily Housing,41 McGreevey Way,11265,"Multifamily Housing, Parking",1109739.8,0.336099327,0.663900673,,,,,,,
Mission Main II - 631 Parker St,1000001045,Multifamily Housing,631 Parker St,86480,"Multifamily Housing, Parking",4419759.3,0.304244215,0.695755785,,,,,,94,
